"IT_DATETIME","DS_CODE","TOA.AH_10","TOA.Q_AH_10","TOA.MOR_10","TOA.Q_MOR_10","TOA.VV_10","TOA.Q_VV_10"
"20151130_240000_000000","290_A_a","4","0","45300","0","45300","0"
"20151201_001000_000000","290_A_a","4","0","27700","0","27700","0"
"20151201_002000_000000","290_A_a","4","0","28300","0","28300","0"
"20151201_003000_000000","290_A_a","4","0","42900","0","42900","0"
"20151201_004000_000000","290_A_a","4","0","49000","0","49000","0"
"20151201_005000_000000","290_A_a","4","0","49700","0","49700","0"
"20151201_010000_000000","290_A_a","4","0","49500","0","49500","0"
"20151201_011000_000000","290_A_a","4","0","49900","0","49900","0"
"20151201_012000_000000","290_A_a","4","0","49600","0","49600","0"
"20151201_013000_000000","290_A_a","4","0","48500","0","48500","0"
"20151201_014000_000000","290_A_a","4","0","49600","0","49600","0"
"20151201_015000_000000","290_A_a","4","0","46300","0","46300","0"
"20151201_020000_000000","290_A_a","4","0","48500","0","48500","0"
"20151201_021000_000000","290_A_a","4","0","46400","0","46400","0"
"20151201_022000_000000","290_A_a","4","0","46800","0","46800","0"
"20151201_023000_000000","290_A_a","4","0","47600","0","47600","0"
"20151201_024000_000000","290_A_a","4","0","46800","0","46800","0"
"20151201_025000_000000","290_A_a","4","0","46000","0","46000","0"
"20151201_030000_000000","290_A_a","4","0","42500","0","42500","0"
"20151201_031000_000000","290_A_a","4","0","40600","0","40600","0"
"20151201_032000_000000","290_A_a","4","0","42500","0","42500","0"
"20151201_033000_000000","290_A_a","4","0","43200","0","43200","0"
"20151201_034000_000000","290_A_a","4","0","43000","0","43000","0"
"20151201_035000_000000","290_A_a","4","0","35100","0","35100","0"
"20151201_040000_000000","290_A_a","4","0","44900","0","44900","0"
"20151201_041000_000000","290_A_a","4","0","38900","0","38900","0"
"20151201_042000_000000","290_A_a","4","0","43200","0","43200","0"
"20151201_043000_000000","290_A_a","4","0","39600","0","39600","0"
"20151201_044000_000000","290_A_a","4","0","46300","0","46300","0"
"20151201_045000_000000","290_A_a","4","0","43100","0","43100","0"
"20151201_050000_000000","290_A_a","4","0","44700","0","44700","0"
"20151201_051000_000000","290_A_a","4","0","41000","0","41000","0"
"20151201_052000_000000","290_A_a","4","0","36700","0","36700","0"
"20151201_053000_000000","290_A_a","4","0","32300","0","32300","0"
"20151201_054000_000000","290_A_a","4","0","31700","0","31700","0"
"20151201_055000_000000","290_A_a","4","0","35200","0","35200","0"
"20151201_060000_000000","290_A_a","4","0","37700","0","37700","0"
"20151201_061000_000000","290_A_a","4","0","33100","0","33100","0"
"20151201_062000_000000","290_A_a","4","0","28100","0","28100","0"
"20151201_063000_000000","290_A_a","4","0","27900","0","27900","0"
"20151201_064000_000000","290_A_a","4","0","28500","0","28500","0"
"20151201_065000_000000","290_A_a","4.94","0","30400","0","30400","0"
"20151201_070000_000000","290_A_a","13.7","0","32100","0","32100","0"
"20151201_071000_000000","290_A_a","48.9","0","27600","0","27600","0"
"20151201_072000_000000","290_A_a","147","0","32300","0","32300","0"
"20151201_073000_000000","290_A_a","340","0","28700","0","28700","0"
"20151201_074000_000000","290_A_a","598","0","27300","0","27300","0"
"20151201_075000_000000","290_A_a","818","0","33400","0","33400","0"
"20151201_080000_000000","290_A_a","1030","0","28900","0","28900","0"
"20151201_081000_000000","290_A_a","1230","0","25500","0","25500","0"
"20151201_082000_000000","290_A_a","1370","0","29200","0","29200","0"
"20151201_083000_000000","290_A_a","1900","0","26000","0","26000","0"
"20151201_084000_000000","290_A_a","1880","0","25900","0","25900","0"
"20151201_085000_000000","290_A_a","1820","0","27500","0","27500","0"
"20151201_090000_000000","290_A_a","2140","0","25200","0","25200","0"
"20151201_091000_000000","290_A_a","3020","0","26400","0","26400","0"
"20151201_092000_000000","290_A_a","3280","0","26000","0","26000","0"
"20151201_093000_000000","290_A_a","2520","0","24800","0","24800","0"
"20151201_094000_000000","290_A_a","2710","0","28600","0","28600","0"
"20151201_095000_000000","290_A_a","3340","0","27900","0","27900","0"
"20151201_100000_000000","290_A_a","3420","0","27800","0","27800","0"
"20151201_101000_000000","290_A_a","3260","0","32400","0","32400","0"
"20151201_102000_000000","290_A_a","3450","0","26800","0","26800","0"
"20151201_103000_000000","290_A_a","4490","0","28300","0","28300","0"
"20151201_104000_000000","290_A_a","4450","0","27700","0","27700","0"
"20151201_105000_000000","290_A_a","5290","0","25000","0","25000","0"
"20151201_110000_000000","290_A_a","4110","0","33200","0","33200","0"
"20151201_111000_000000","290_A_a","4430","0","26800","0","26800","0"
"20151201_112000_000000","290_A_a","4030","0","27000","0","27000","0"
"20151201_113000_000000","290_A_a","3400","0","27500","0","27500","0"
"20151201_114000_000000","290_A_a","2370","0","26700","0","26700","0"
"20151201_115000_000000","290_A_a","2580","0","23200","0","23200","0"
"20151201_120000_000000","290_A_a","3120","0","23700","0","23700","0"
"20151201_121000_000000","290_A_a","2140","0","21500","0","21500","0"
"20151201_122000_000000","290_A_a","2240","0","21500","0","21500","0"
"20151201_123000_000000","290_A_a","2050","0","20700","0","20700","0"
"20151201_124000_000000","290_A_a","1890","0","26600","0","26600","0"
"20151201_125000_000000","290_A_a","2390","0","26200","0","26200","0"
"20151201_130000_000000","290_A_a","2150","0","19900","0","19900","0"
"20151201_131000_000000","290_A_a","2480","0","15300","0","15300","0"
"20151201_132000_000000","290_A_a","2740","0","14100","0","14100","0"
"20151201_133000_000000","290_A_a","2620","0","12600","0","12600","0"
"20151201_134000_000000","290_A_a","2040","0","9850","0","9850","0"
"20151201_135000_000000","290_A_a","1620","0","7450","0","7450","0"
"20151201_140000_000000","290_A_a","1920","0","5960","0","5960","0"
"20151201_141000_000000","290_A_a","2240","0","6260","0","6260","0"
"20151201_142000_000000","290_A_a","1510","0","6200","0","6200","0"
"20151201_143000_000000","290_A_a","1090","0","5340","0","5340","0"
"20151201_144000_000000","290_A_a","805","0","3770","0","3770","0"
"20151201_145000_000000","290_A_a","697","0","2400","0","2400","0"
"20151201_150000_000000","290_A_a","530","0","2300","0","2300","0"
"20151201_151000_000000","290_A_a","352","0","2150","0","2150","0"
"20151201_152000_000000","290_A_a","248","0","2330","0","2330","0"
"20151201_153000_000000","290_A_a","67.2","0","2690","0","2690","0"
"20151201_154000_000000","290_A_a","33.7","0","2860","0","2860","0"
"20151201_155000_000000","290_A_a","14.2","0","2620","0","2620","0"
"20151201_160000_000000","290_A_a","5.3","0","2700","0","2775.26","0"
"20151201_161000_000000","290_A_a","4","0","2290","0","2594.467","0"
"20151201_162000_000000","290_A_a","4","0","1910","0","2311.16","0"
"20151201_163000_000000","290_A_a","4","0","1600","0","2059.158","0"
"20151201_164000_000000","290_A_a","4","0","2230","0","2551.382","0"
"20151201_165000_000000","290_A_a","4","0","3650","0","3650","0"
"20151201_170000_000000","290_A_a","4","0","4300","0","4300","0"
"20151201_171000_000000","290_A_a","4","0","4260","0","4260","0"
"20151201_172000_000000","290_A_a","4","0","3710","0","3710","0"
"20151201_173000_000000","290_A_a","4","0","3890","0","3890","0"
"20151201_174000_000000","290_A_a","4","0","3400","0","3400","0"
"20151201_175000_000000","290_A_a","4","0","3520","0","3520","0"
"20151201_180000_000000","290_A_a","4","0","4000","0","4000","0"
"20151201_181000_000000","290_A_a","4","0","4560","0","4560","0"
"20151201_182000_000000","290_A_a","4","0","4900","0","4900","0"
"20151201_183000_000000","290_A_a","4","0","5470","0","5470","0"
"20151201_184000_000000","290_A_a","4","0","6640","0","6640","0"
"20151201_185000_000000","290_A_a","4","0","8550","0","8550","0"
"20151201_190000_000000","290_A_a","4","0","9720","0","9720","0"
"20151201_191000_000000","290_A_a","4","0","10400","0","10400","0"
"20151201_192000_000000","290_A_a","4","0","11700","0","11700","0"
"20151201_193000_000000","290_A_a","4","0","12700","0","12700","0"
"20151201_194000_000000","290_A_a","4","0","13400","0","13400","0"
"20151201_195000_000000","290_A_a","4","0","13400","0","13400","0"
"20151201_200000_000000","290_A_a","4","0","13200","0","13200","0"
"20151201_201000_000000","290_A_a","4","0","12900","0","12900","0"
"20151201_202000_000000","290_A_a","4","0","13300","0","13300","0"
"20151201_203000_000000","290_A_a","4","0","14000","0","14000","0"
"20151201_204000_000000","290_A_a","4","0","13900","0","13900","0"
"20151201_205000_000000","290_A_a","4","0","13600","0","13600","0"
"20151201_210000_000000","290_A_a","4","0","12800","0","12800","0"
"20151201_211000_000000","290_A_a","4","0","13100","0","13100","0"
"20151201_212000_000000","290_A_a","4","0","12800","0","12800","0"
"20151201_213000_000000","290_A_a","4","0","12800","0","12800","0"
"20151201_214000_000000","290_A_a","4","0","12700","0","12700","0"
"20151201_215000_000000","290_A_a","4","0","12800","0","12800","0"
"20151201_220000_000000","290_A_a","4","0","12600","0","12600","0"
"20151201_221000_000000","290_A_a","4","0","12600","0","12600","0"
"20151201_222000_000000","290_A_a","4","0","12300","0","12300","0"
"20151201_223000_000000","290_A_a","4","0","13200","0","13200","0"
"20151201_224000_000000","290_A_a","4","0","13000","0","13000","0"
"20151201_225000_000000","290_A_a","4","0","13100","0","13100","0"
"20151201_230000_000000","290_A_a","4","0","13400","0","13400","0"
"20151201_231000_000000","290_A_a","4","0","13700","0","13700","0"
"20151201_232000_000000","290_A_a","4","0","13500","0","13500","0"
"20151201_233000_000000","290_A_a","4","0","14100","0","14100","0"
"20151201_234000_000000","290_A_a","4","0","14200","0","14200","0"
"20151201_235000_000000","290_A_a","4","0","14400","0","14400","0"
"20151201_240000_000000","290_A_a","4","0","14900","0","14900","0"
"20151202_001000_000000","290_A_a","4","0","15200","0","15200","0"
"20151202_002000_000000","290_A_a","4","0","15200","0","15200","0"
"20151202_003000_000000","290_A_a","4","0","15700","0","15700","0"
"20151202_004000_000000","290_A_a","4","0","15700","0","15700","0"
"20151202_005000_000000","290_A_a","4","0","15500","0","15500","0"
"20151202_010000_000000","290_A_a","4","0","16300","0","16300","0"
"20151202_011000_000000","290_A_a","4","0","16900","0","16900","0"
"20151202_012000_000000","290_A_a","4","0","17800","0","17800","0"
"20151202_013000_000000","290_A_a","4","0","19400","0","19400","0"
"20151202_014000_000000","290_A_a","4","0","18600","0","18600","0"
"20151202_015000_000000","290_A_a","4","0","20300","0","20300","0"
"20151202_020000_000000","290_A_a","4","0","20700","0","20700","0"
"20151202_021000_000000","290_A_a","4","0","20300","0","20300","0"
"20151202_022000_000000","290_A_a","4","0","21900","0","21900","0"
"20151202_023000_000000","290_A_a","4","0","22500","0","22500","0"
"20151202_024000_000000","290_A_a","4","0","21700","0","21700","0"
"20151202_025000_000000","290_A_a","4","0","22300","0","22300","0"
"20151202_030000_000000","290_A_a","4","0","22800","0","22800","0"
"20151202_031000_000000","290_A_a","4","0","24400","0","24400","0"
"20151202_032000_000000","290_A_a","4","0","25000","0","25000","0"
"20151202_033000_000000","290_A_a","4","0","28700","0","28700","0"
"20151202_034000_000000","290_A_a","4","0","28700","0","28700","0"
"20151202_035000_000000","290_A_a","4","0","26500","0","26500","0"
"20151202_040000_000000","290_A_a","4","0","28700","0","28700","0"
"20151202_041000_000000","290_A_a","4","0","25700","0","25700","0"
"20151202_042000_000000","290_A_a","4","0","27100","0","27100","0"
"20151202_043000_000000","290_A_a","4","0","25600","0","25600","0"
"20151202_044000_000000","290_A_a","4","0","22100","0","22100","0"
"20151202_045000_000000","290_A_a","4","0","22600","0","22600","0"
"20151202_050000_000000","290_A_a","4","0","21800","0","21800","0"
"20151202_051000_000000","290_A_a","4","0","20900","0","20900","0"
"20151202_052000_000000","290_A_a","4","0","19200","0","19200","0"
"20151202_053000_000000","290_A_a","4","0","19300","0","19300","0"
"20151202_054000_000000","290_A_a","4","0","19000","0","19000","0"
"20151202_055000_000000","290_A_a","4","0","19500","0","19500","0"
"20151202_060000_000000","290_A_a","4","0","19100","0","19100","0"
"20151202_061000_000000","290_A_a","4","0","19300","0","19300","0"
"20151202_062000_000000","290_A_a","4","0","18400","0","18400","0"
"20151202_063000_000000","290_A_a","4","0","18400","0","18400","0"
"20151202_064000_000000","290_A_a","4","0","19100","0","19100","0"
"20151202_065000_000000","290_A_a","4.12","0","19100","0","19100","0"
"20151202_070000_000000","290_A_a","7.2","0","18700","0","18700","0"
"20151202_071000_000000","290_A_a","23.4","0","19200","0","19200","0"
"20151202_072000_000000","290_A_a","58.5","0","19600","0","19600","0"
"20151202_073000_000000","290_A_a","119","0","19500","0","19500","0"
"20151202_074000_000000","290_A_a","212","0","20700","0","20700","0"
"20151202_075000_000000","290_A_a","343","0","19900","0","19900","0"
"20151202_080000_000000","290_A_a","481","0","20000","0","20000","0"
"20151202_081000_000000","290_A_a","622","0","23900","0","23900","0"
"20151202_082000_000000","290_A_a","664","0","24100","0","24100","0"
"20151202_083000_000000","290_A_a","855","0","24000","0","24000","0"
"20151202_084000_000000","290_A_a","1200","0","22400","0","22400","0"
"20151202_085000_000000","290_A_a","1260","0","27300","0","27300","0"
"20151202_090000_000000","290_A_a","1310","0","27400","0","27400","0"
"20151202_091000_000000","290_A_a","1480","0","29500","0","29500","0"
"20151202_092000_000000","290_A_a","1440","0","32500","0","32500","0"
"20151202_093000_000000","290_A_a","1190","0","33000","0","33000","0"
"20151202_094000_000000","290_A_a","1240","0","31600","0","31600","0"
"20151202_095000_000000","290_A_a","1610","0","29900","0","29900","0"
"20151202_100000_000000","290_A_a","1740","0","33500","0","33500","0"
"20151202_101000_000000","290_A_a","1740","0","33700","0","33700","0"
"20151202_102000_000000","290_A_a","1920","0","32900","0","32900","0"
"20151202_103000_000000","290_A_a","2220","0","31700","0","31700","0"
"20151202_104000_000000","290_A_a","2250","0","40500","0","40500","0"
"20151202_105000_000000","290_A_a","2580","0","31200","0","31200","0"
"20151202_110000_000000","290_A_a","3410","0","32000","0","32000","0"
"20151202_111000_000000","290_A_a","3530","0","37400","0","37400","0"
"20151202_112000_000000","290_A_a","3730","0","37000","0","37000","0"
"20151202_113000_000000","290_A_a","3860","0","31800","0","31800","0"
"20151202_114000_000000","290_A_a","3520","0","32600","0","32600","0"
"20151202_115000_000000","290_A_a","3340","0","33800","0","33800","0"
"20151202_120000_000000","290_A_a","3480","0","39800","0","39800","0"
"20151202_121000_000000","290_A_a","3280","0","36600","0","36600","0"
"20151202_122000_000000","290_A_a","3260","0","35200","0","35200","0"
"20151202_123000_000000","290_A_a","2880","0","37400","0","37400","0"
"20151202_124000_000000","290_A_a","2790","0","33700","0","33700","0"
"20151202_125000_000000","290_A_a","2160","0","36600","0","36600","0"
"20151202_130000_000000","290_A_a","1800","0","33200","0","33200","0"
"20151202_131000_000000","290_A_a","2140","0","38300","0","38300","0"
"20151202_132000_000000","290_A_a","2110","0","39500","0","39500","0"
"20151202_133000_000000","290_A_a","1890","0","36300","0","36300","0"
"20151202_134000_000000","290_A_a","1570","0","34500","0","34500","0"
"20151202_135000_000000","290_A_a","1440","0","36300","0","36300","0"
"20151202_140000_000000","290_A_a","1150","0","34600","0","34600","0"
"20151202_141000_000000","290_A_a","1070","0","34500","0","34500","0"
"20151202_142000_000000","290_A_a","908","0","35200","0","35200","0"
"20151202_143000_000000","290_A_a","709","0","35400","0","35400","0"
"20151202_144000_000000","290_A_a","541","0","33700","0","33700","0"
"20151202_145000_000000","290_A_a","385","0","36200","0","36200","0"
"20151202_150000_000000","290_A_a","308","0","35400","0","35400","0"
"20151202_151000_000000","290_A_a","288","0","33800","0","33800","0"
"20151202_152000_000000","290_A_a","178","0","37200","0","37200","0"
"20151202_153000_000000","290_A_a","99.1","0","36600","0","36600","0"
"20151202_154000_000000","290_A_a","36.8","0","37900","0","37900","0"
"20151202_155000_000000","290_A_a","14","0","39900","0","39900","0"
"20151202_160000_000000","290_A_a","5.44","0","35100","0","35100","0"
"20151202_161000_000000","290_A_a","4","0","33700","0","33700","0"
"20151202_162000_000000","290_A_a","4","0","37100","0","37100","0"
"20151202_163000_000000","290_A_a","4","0","38100","0","38100","0"
"20151202_164000_000000","290_A_a","4","0","37200","0","37200","0"
"20151202_165000_000000","290_A_a","4.01","0","37200","0","37200","0"
"20151202_170000_000000","290_A_a","4","0","39900","0","39900","0"
"20151202_171000_000000","290_A_a","4","0","40500","0","40500","0"
"20151202_172000_000000","290_A_a","4","0","39700","0","39700","0"
"20151202_173000_000000","290_A_a","4","0","42600","0","42600","0"
"20151202_174000_000000","290_A_a","4","0","43100","0","43100","0"
"20151202_175000_000000","290_A_a","4","0","39300","0","39300","0"
"20151202_180000_000000","290_A_a","4","0","42300","0","42300","0"
"20151202_181000_000000","290_A_a","4","0","43300","0","43300","0"
"20151202_182000_000000","290_A_a","4","0","42200","0","42200","0"
"20151202_183000_000000","290_A_a","4","0","41000","0","41000","0"
"20151202_184000_000000","290_A_a","4","0","35100","0","35100","0"
"20151202_185000_000000","290_A_a","4","0","37300","0","37300","0"
"20151202_190000_000000","290_A_a","4","0","42200","0","42200","0"
"20151202_191000_000000","290_A_a","4","0","40300","0","40300","0"
"20151202_192000_000000","290_A_a","4","0","40600","0","40600","0"
"20151202_193000_000000","290_A_a","4","0","42200","0","42200","0"
"20151202_194000_000000","290_A_a","4","0","42000","0","42000","0"
"20151202_195000_000000","290_A_a","4","0","38600","0","38600","0"
"20151202_200000_000000","290_A_a","4","0","37500","0","37500","0"
"20151202_201000_000000","290_A_a","4","0","36200","0","36200","0"
"20151202_202000_000000","290_A_a","4","0","40200","0","40200","0"
"20151202_203000_000000","290_A_a","4","0","32600","0","32600","0"
"20151202_204000_000000","290_A_a","4","0","37300","0","37300","0"
"20151202_205000_000000","290_A_a","4","0","36000","0","36000","0"
"20151202_210000_000000","290_A_a","4","0","36500","0","36500","0"
"20151202_211000_000000","290_A_a","4","0","36000","0","36000","0"
"20151202_212000_000000","290_A_a","4","0","31500","0","31500","0"
"20151202_213000_000000","290_A_a","4","0","32300","0","32300","0"
"20151202_214000_000000","290_A_a","4","0","30400","0","30400","0"
"20151202_215000_000000","290_A_a","4","0","34800","0","34800","0"
"20151202_220000_000000","290_A_a","4","0","35600","0","35600","0"
"20151202_221000_000000","290_A_a","4","0","34400","0","34400","0"
"20151202_222000_000000","290_A_a","4","0","32700","0","32700","0"
"20151202_223000_000000","290_A_a","4","0","35400","0","35400","0"
"20151202_224000_000000","290_A_a","4","0","31200","0","31200","0"
"20151202_225000_000000","290_A_a","4","0","30000","0","30000","0"
"20151202_230000_000000","290_A_a","4","0","30600","0","30600","0"
"20151202_231000_000000","290_A_a","4","0","32100","0","32100","0"
"20151202_232000_000000","290_A_a","4","0","31900","0","31900","0"
"20151202_233000_000000","290_A_a","4","0","30400","0","30400","0"
"20151202_234000_000000","290_A_a","4","0","32700","0","32700","0"
"20151202_235000_000000","290_A_a","4","0","33000","0","33000","0"
"20151202_240000_000000","290_A_a","4","0","36200","0","36200","0"
"20151203_001000_000000","290_A_a","4","0","37000","0","37000","0"
"20151203_002000_000000","290_A_a","4","0","33900","0","33900","0"
"20151203_003000_000000","290_A_a","4","0","35000","0","35000","0"
"20151203_004000_000000","290_A_a","4","0","36000","0","36000","0"
"20151203_005000_000000","290_A_a","4","0","32300","0","32300","0"
"20151203_010000_000000","290_A_a","4","0","35500","0","35500","0"
"20151203_011000_000000","290_A_a","4","0","34200","0","34200","0"
"20151203_012000_000000","290_A_a","4","0","36200","0","36200","0"
"20151203_013000_000000","290_A_a","4","0","33700","0","33700","0"
"20151203_014000_000000","290_A_a","4","0","36300","0","36300","0"
"20151203_015000_000000","290_A_a","4","0","34400","0","34400","0"
"20151203_020000_000000","290_A_a","4","0","35500","0","35500","0"
"20151203_021000_000000","290_A_a","4","0","32800","0","32800","0"
"20151203_022000_000000","290_A_a","4","0","33400","0","33400","0"
"20151203_023000_000000","290_A_a","4","0","39000","0","39000","0"
"20151203_024000_000000","290_A_a","4","0","36000","0","36000","0"
"20151203_025000_000000","290_A_a","4","0","38600","0","38600","0"
"20151203_030000_000000","290_A_a","4","0","39400","0","39400","0"
"20151203_031000_000000","290_A_a","4","0","34900","0","34900","0"
"20151203_032000_000000","290_A_a","4","0","35700","0","35700","0"
"20151203_033000_000000","290_A_a","4","0","34500","0","34500","0"
"20151203_034000_000000","290_A_a","4","0","34500","0","34500","0"
"20151203_035000_000000","290_A_a","4","0","35400","0","35400","0"
"20151203_040000_000000","290_A_a","4","0","35100","0","35100","0"
"20151203_041000_000000","290_A_a","4","0","39700","0","39700","0"
"20151203_042000_000000","290_A_a","4","0","34300","0","34300","0"
"20151203_043000_000000","290_A_a","4","0","31500","0","31500","0"
"20151203_044000_000000","290_A_a","4","0","36000","0","36000","0"
"20151203_045000_000000","290_A_a","4","0","37900","0","37900","0"
"20151203_050000_000000","290_A_a","4","0","29300","0","29300","0"
"20151203_051000_000000","290_A_a","4","0","31300","0","31300","0"
"20151203_052000_000000","290_A_a","4","0","29400","0","29400","0"
"20151203_053000_000000","290_A_a","4","0","31900","0","31900","0"
"20151203_054000_000000","290_A_a","4","0","33700","0","33700","0"
"20151203_055000_000000","290_A_a","4","0","30400","0","30400","0"
"20151203_060000_000000","290_A_a","4","0","32600","0","32600","0"
"20151203_061000_000000","290_A_a","4","0","34800","0","34800","0"
"20151203_062000_000000","290_A_a","4","0","30900","0","30900","0"
"20151203_063000_000000","290_A_a","4","0","30800","0","30800","0"
"20151203_064000_000000","290_A_a","4","0","32800","0","32800","0"
"20151203_065000_000000","290_A_a","4.08","0","29300","0","29300","0"
"20151203_070000_000000","290_A_a","6.5","0","30300","0","30300","0"
"20151203_071000_000000","290_A_a","15.1","0","31700","0","31700","0"
"20151203_072000_000000","290_A_a","55","0","30100","0","30100","0"
"20151203_073000_000000","290_A_a","109","0","31100","0","31100","0"
"20151203_074000_000000","290_A_a","276","0","31100","0","31100","0"
"20151203_075000_000000","290_A_a","728","0","27700","0","27700","0"
"20151203_080000_000000","290_A_a","1180","0","28500","0","28500","0"
"20151203_081000_000000","290_A_a","1260","0","31500","0","31500","0"
"20151203_082000_000000","290_A_a","1140","0","36400","0","36400","0"
"20151203_083000_000000","290_A_a","1140","0","33900","0","33900","0"
"20151203_084000_000000","290_A_a","1620","0","33100","0","33100","0"
"20151203_085000_000000","290_A_a","1980","0","34000","0","34000","0"
"20151203_090000_000000","290_A_a","1830","0","28800","0","28800","0"
"20151203_091000_000000","290_A_a","2340","0","29200","0","29200","0"
"20151203_092000_000000","290_A_a","2380","0","29300","0","29300","0"
"20151203_093000_000000","290_A_a","2880","0","30000","0","30000","0"
"20151203_094000_000000","290_A_a","3180","0","25800","0","25800","0"
"20151203_095000_000000","290_A_a","3560","0","28200","0","28200","0"
"20151203_100000_000000","290_A_a","3730","0","28300","0","28300","0"
"20151203_101000_000000","290_A_a","3860","0","31300","0","31300","0"
"20151203_102000_000000","290_A_a","4230","0","31000","0","31000","0"
"20151203_103000_000000","290_A_a","4170","0","31800","0","31800","0"
"20151203_104000_000000","290_A_a","4090","0","28500","0","28500","0"
"20151203_105000_000000","290_A_a","4240","0","31700","0","31700","0"
"20151203_110000_000000","290_A_a","5110","0","30500","0","30500","0"
"20151203_111000_000000","290_A_a","4090","0","33000","0","33000","0"
"20151203_112000_000000","290_A_a","5100","0","27400","0","27400","0"
"20151203_113000_000000","290_A_a","4130","0","30200","0","30200","0"
"20151203_114000_000000","290_A_a","3150","0","30700","0","30700","0"
"20151203_115000_000000","290_A_a","3190","0","29500","0","29500","0"
"20151203_120000_000000","290_A_a","3440","0","31300","0","31300","0"
"20151203_121000_000000","290_A_a","2790","0","31600","0","31600","0"
"20151203_122000_000000","290_A_a","3160","0","26000","0","26000","0"
"20151203_123000_000000","290_A_a","1850","0","29200","0","29200","0"
"20151203_124000_000000","290_A_a","2380","0","27500","0","27500","0"
"20151203_125000_000000","290_A_a","2580","0","27700","0","27700","0"
"20151203_130000_000000","290_A_a","2760","0","28300","0","28300","0"
"20151203_131000_000000","290_A_a","2690","0","27600","0","27600","0"
"20151203_132000_000000","290_A_a","2190","0","31200","0","31200","0"
"20151203_133000_000000","290_A_a","2200","0","35000","0","35000","0"
"20151203_134000_000000","290_A_a","2490","0","30000","0","30000","0"
"20151203_135000_000000","290_A_a","2230","0","30900","0","30900","0"
"20151203_140000_000000","290_A_a","2140","0","33600","0","33600","0"
"20151203_141000_000000","290_A_a","2420","0","33600","0","33600","0"
"20151203_142000_000000","290_A_a","1510","0","33100","0","33100","0"
"20151203_143000_000000","290_A_a","1120","0","33100","0","33100","0"
"20151203_144000_000000","290_A_a","936","0","34100","0","34100","0"
"20151203_145000_000000","290_A_a","633","0","31900","0","31900","0"
"20151203_150000_000000","290_A_a","475","0","36000","0","36000","0"
"20151203_151000_000000","290_A_a","319","0","32900","0","32900","0"
"20151203_152000_000000","290_A_a","153","0","29700","0","29700","0"
"20151203_153000_000000","290_A_a","91.8","0","30700","0","30700","0"
"20151203_154000_000000","290_A_a","39.9","0","31200","0","31200","0"
"20151203_155000_000000","290_A_a","11.6","0","33300","0","33300","0"
"20151203_160000_000000","290_A_a","5.62","0","36200","0","36200","0"
"20151203_161000_000000","290_A_a","4.04","0","32200","0","32200","0"
"20151203_162000_000000","290_A_a","4","0","30700","0","30700","0"
"20151203_163000_000000","290_A_a","4","0","35600","0","35600","0"
"20151203_164000_000000","290_A_a","4","0","33300","0","33300","0"
"20151203_165000_000000","290_A_a","4","0","27600","0","27600","0"
"20151203_170000_000000","290_A_a","4","0","29600","0","29600","0"
"20151203_171000_000000","290_A_a","4","0","29400","0","29400","0"
"20151203_172000_000000","290_A_a","4","0","28300","0","28300","0"
"20151203_173000_000000","290_A_a","4","0","28000","0","28000","0"
"20151203_174000_000000","290_A_a","4","0","27100","0","27100","0"
"20151203_175000_000000","290_A_a","4","0","25700","0","25700","0"
"20151203_180000_000000","290_A_a","4","0","26700","0","26700","0"
"20151203_181000_000000","290_A_a","4","0","28400","0","28400","0"
"20151203_182000_000000","290_A_a","4","0","30000","0","30000","0"
"20151203_183000_000000","290_A_a","4","0","34800","0","34800","0"
"20151203_184000_000000","290_A_a","4","0","32200","0","32200","0"
"20151203_185000_000000","290_A_a","4","0","34800","0","34800","0"
"20151203_190000_000000","290_A_a","4","0","34400","0","34400","0"
"20151203_191000_000000","290_A_a","4","0","36100","0","36100","0"
"20151203_192000_000000","290_A_a","4","0","37700","0","37700","0"
"20151203_193000_000000","290_A_a","4","0","36100","0","36100","0"
"20151203_194000_000000","290_A_a","4","0","35300","0","35300","0"
"20151203_195000_000000","290_A_a","4","0","34500","0","34500","0"
"20151203_200000_000000","290_A_a","4","0","33700","0","33700","0"
"20151203_201000_000000","290_A_a","4","0","33100","0","33100","0"
"20151203_202000_000000","290_A_a","4","0","32200","0","32200","0"
"20151203_203000_000000","290_A_a","4","0","30700","0","30700","0"
"20151203_204000_000000","290_A_a","4","0","30800","0","30800","0"
"20151203_205000_000000","290_A_a","4","0","35600","0","35600","0"
"20151203_210000_000000","290_A_a","4","0","29000","0","29000","0"
"20151203_211000_000000","290_A_a","4","0","31200","0","31200","0"
"20151203_212000_000000","290_A_a","4","0","30100","0","30100","0"
"20151203_213000_000000","290_A_a","4","0","31000","0","31000","0"
"20151203_214000_000000","290_A_a","4","0","31600","0","31600","0"
"20151203_215000_000000","290_A_a","4","0","29600","0","29600","0"
"20151203_220000_000000","290_A_a","4","0","31500","0","31500","0"
"20151203_221000_000000","290_A_a","4","0","32000","0","32000","0"
"20151203_222000_000000","290_A_a","4","0","25600","0","25600","0"
"20151203_223000_000000","290_A_a","4","0","27500","0","27500","0"
"20151203_224000_000000","290_A_a","4","0","26200","0","26200","0"
"20151203_225000_000000","290_A_a","4","0","26000","0","26000","0"
"20151203_230000_000000","290_A_a","4","0","23000","0","23000","0"
"20151203_231000_000000","290_A_a","4","0","22200","0","22200","0"
