"IT_DATETIME","DS_CODE","TOT.U_10","TOT.Q_U_10"
"20141231_240000_000000","290_T_a","90","0"
"20150101_001000_000000","290_T_a","91","0"
"20150101_002000_000000","290_T_a","90","0"
"20150101_003000_000000","290_T_a","90","0"
"20150101_004000_000000","290_T_a","90","0"
"20150101_005000_000000","290_T_a","90","0"
"20150101_010000_000000","290_T_a","90","0"
"20150101_011000_000000","290_T_a","90","0"
"20150101_012000_000000","290_T_a","91","0"
"20150101_013000_000000","290_T_a","92","0"
"20150101_014000_000000","290_T_a","92","0"
"20150101_015000_000000","290_T_a","92","0"
"20150101_020000_000000","290_T_a","92","0"
"20150101_021000_000000","290_T_a","92","0"
"20150101_022000_000000","290_T_a","92","0"
"20150101_023000_000000","290_T_a","92","0"
"20150101_024000_000000","290_T_a","92","0"
"20150101_025000_000000","290_T_a","92","0"
"20150101_030000_000000","290_T_a","91","0"
"20150101_031000_000000","290_T_a","91","0"
"20150101_032000_000000","290_T_a","91","0"
"20150101_033000_000000","290_T_a","90","0"
"20150101_034000_000000","290_T_a","91","0"
"20150101_035000_000000","290_T_a","90","0"
"20150101_040000_000000","290_T_a","90","0"
"20150101_041000_000000","290_T_a","91","0"
"20150101_042000_000000","290_T_a","90","0"
"20150101_043000_000000","290_T_a","90","0"
"20150101_044000_000000","290_T_a","90","0"
"20150101_045000_000000","290_T_a","89","0"
"20150101_050000_000000","290_T_a","89","0"
"20150101_051000_000000","290_T_a","89","0"
"20150101_052000_000000","290_T_a","88","0"
"20150101_053000_000000","290_T_a","90","0"
"20150101_054000_000000","290_T_a","89","0"
"20150101_055000_000000","290_T_a","89","0"
"20150101_060000_000000","290_T_a","89","0"
"20150101_061000_000000","290_T_a","88","0"
"20150101_062000_000000","290_T_a","88","0"
"20150101_063000_000000","290_T_a","87","0"
"20150101_064000_000000","290_T_a","87","0"
"20150101_065000_000000","290_T_a","86","0"
"20150101_070000_000000","290_T_a","85","0"
"20150101_071000_000000","290_T_a","84","0"
"20150101_072000_000000","290_T_a","83","0"
"20150101_073000_000000","290_T_a","83","0"
"20150101_074000_000000","290_T_a","84","0"
"20150101_075000_000000","290_T_a","84","0"
"20150101_080000_000000","290_T_a","84","0"
"20150101_081000_000000","290_T_a","84","0"
"20150101_082000_000000","290_T_a","83","0"
"20150101_083000_000000","290_T_a","83","0"
"20150101_084000_000000","290_T_a","82","0"
"20150101_085000_000000","290_T_a","82","0"
"20150101_090000_000000","290_T_a","83","0"
"20150101_091000_000000","290_T_a","82","0"
"20150101_092000_000000","290_T_a","81","0"
"20150101_093000_000000","290_T_a","80","0"
"20150101_094000_000000","290_T_a","81","0"
"20150101_095000_000000","290_T_a","79","0"
"20150101_100000_000000","290_T_a","78","0"
"20150101_101000_000000","290_T_a","77","0"
"20150101_102000_000000","290_T_a","76","0"
"20150101_103000_000000","290_T_a","75","0"
"20150101_104000_000000","290_T_a","75","0"
"20150101_105000_000000","290_T_a","74","0"
"20150101_110000_000000","290_T_a","76","0"
"20150101_111000_000000","290_T_a","74","0"
"20150101_112000_000000","290_T_a","76","0"
"20150101_113000_000000","290_T_a","74","0"
"20150101_114000_000000","290_T_a","75","0"
"20150101_115000_000000","290_T_a","75","0"
"20150101_120000_000000","290_T_a","75","0"
"20150101_121000_000000","290_T_a","75","0"
"20150101_122000_000000","290_T_a","77","0"
"20150101_123000_000000","290_T_a","77","0"
"20150101_124000_000000","290_T_a","77","0"
"20150101_125000_000000","290_T_a","76","0"
"20150101_130000_000000","290_T_a","75","0"
"20150101_131000_000000","290_T_a","75","0"
"20150101_132000_000000","290_T_a","74","0"
"20150101_133000_000000","290_T_a","75","0"
"20150101_134000_000000","290_T_a","72","0"
"20150101_135000_000000","290_T_a","73","0"
"20150101_140000_000000","290_T_a","71","0"
"20150101_141000_000000","290_T_a","73","0"
"20150101_142000_000000","290_T_a","72","0"
"20150101_143000_000000","290_T_a","71","0"
"20150101_144000_000000","290_T_a","72","0"
"20150101_145000_000000","290_T_a","72","0"
"20150101_150000_000000","290_T_a","72","0"
"20150101_151000_000000","290_T_a","72","0"
"20150101_152000_000000","290_T_a","72","0"
"20150101_153000_000000","290_T_a","71","0"
"20150101_154000_000000","290_T_a","71","0"
"20150101_155000_000000","290_T_a","71","0"
"20150101_160000_000000","290_T_a","71","0"
"20150101_161000_000000","290_T_a","71","0"
"20150101_162000_000000","290_T_a","71","0"
"20150101_163000_000000","290_T_a","72","0"
"20150101_164000_000000","290_T_a","72","0"
"20150101_165000_000000","290_T_a","72","0"
"20150101_170000_000000","290_T_a","72","0"
"20150101_171000_000000","290_T_a","73","0"
"20150101_172000_000000","290_T_a","72","0"
"20150101_173000_000000","290_T_a","72","0"
"20150101_174000_000000","290_T_a","73","0"
"20150101_175000_000000","290_T_a","73","0"
"20150101_180000_000000","290_T_a","73","0"
"20150101_181000_000000","290_T_a","71","0"
"20150101_182000_000000","290_T_a","71","0"
"20150101_183000_000000","290_T_a","72","0"
"20150101_184000_000000","290_T_a","72","0"
"20150101_185000_000000","290_T_a","72","0"
"20150101_190000_000000","290_T_a","71","0"
"20150101_191000_000000","290_T_a","71","0"
"20150101_192000_000000","290_T_a","72","0"
"20150101_193000_000000","290_T_a","71","0"
"20150101_194000_000000","290_T_a","71","0"
"20150101_195000_000000","290_T_a","72","0"
"20150101_200000_000000","290_T_a","71","0"
"20150101_201000_000000","290_T_a","71","0"
"20150101_202000_000000","290_T_a","72","0"
"20150101_203000_000000","290_T_a","71","0"
"20150101_204000_000000","290_T_a","70","0"
"20150101_205000_000000","290_T_a","71","0"
"20150101_210000_000000","290_T_a","70","0"
"20150101_211000_000000","290_T_a","70","0"
"20150101_212000_000000","290_T_a","70","0"
"20150101_213000_000000","290_T_a","70","0"
"20150101_214000_000000","290_T_a","70","0"
"20150101_215000_000000","290_T_a","70","0"
"20150101_220000_000000","290_T_a","69","0"
"20150101_221000_000000","290_T_a","69","0"
"20150101_222000_000000","290_T_a","69","0"
"20150101_223000_000000","290_T_a","70","0"
"20150101_224000_000000","290_T_a","69","0"
"20150101_225000_000000","290_T_a","69","0"
"20150101_230000_000000","290_T_a","69","0"
"20150101_231000_000000","290_T_a","69","0"
"20150101_232000_000000","290_T_a","69","0"
"20150101_233000_000000","290_T_a","69","0"
"20150101_234000_000000","290_T_a","69","0"
"20150101_235000_000000","290_T_a","69","0"
"20150101_240000_000000","290_T_a","69","0"
"20150102_001000_000000","290_T_a","69","0"
"20150102_002000_000000","290_T_a","70","0"
"20150102_003000_000000","290_T_a","70","0"
"20150102_004000_000000","290_T_a","71","0"
"20150102_005000_000000","290_T_a","74","0"
"20150102_010000_000000","290_T_a","72","0"
"20150102_011000_000000","290_T_a","76","0"
"20150102_012000_000000","290_T_a","79","0"
"20150102_013000_000000","290_T_a","81","0"
"20150102_014000_000000","290_T_a","80","0"
"20150102_015000_000000","290_T_a","80","0"
"20150102_020000_000000","290_T_a","79","0"
"20150102_021000_000000","290_T_a","82","0"
"20150102_022000_000000","290_T_a","83","0"
"20150102_023000_000000","290_T_a","82","0"
"20150102_024000_000000","290_T_a","82","0"
"20150102_025000_000000","290_T_a","82","0"
"20150102_030000_000000","290_T_a","84","0"
"20150102_031000_000000","290_T_a","83","0"
"20150102_032000_000000","290_T_a","85","0"
"20150102_033000_000000","290_T_a","85","0"
"20150102_034000_000000","290_T_a","88","0"
"20150102_035000_000000","290_T_a","90","0"
"20150102_040000_000000","290_T_a","89","0"
"20150102_041000_000000","290_T_a","91","0"
"20150102_042000_000000","290_T_a","92","0"
"20150102_043000_000000","290_T_a","92","0"
"20150102_044000_000000","290_T_a","92","0"
"20150102_045000_000000","290_T_a","92","0"
"20150102_050000_000000","290_T_a","93","0"
"20150102_051000_000000","290_T_a","93","0"
"20150102_052000_000000","290_T_a","94","0"
"20150102_053000_000000","290_T_a","94","0"
"20150102_054000_000000","290_T_a","94","0"
"20150102_055000_000000","290_T_a","94","0"
"20150102_060000_000000","290_T_a","94","0"
"20150102_061000_000000","290_T_a","94","0"
"20150102_062000_000000","290_T_a","94","0"
"20150102_063000_000000","290_T_a","94","0"
"20150102_064000_000000","290_T_a","94","0"
"20150102_065000_000000","290_T_a","95","0"
"20150102_070000_000000","290_T_a","95","0"
"20150102_071000_000000","290_T_a","95","0"
"20150102_072000_000000","290_T_a","95","0"
"20150102_073000_000000","290_T_a","95","0"
"20150102_074000_000000","290_T_a","95","0"
"20150102_075000_000000","290_T_a","95","0"
"20150102_080000_000000","290_T_a","95","0"
