stationName;KISID;typeStation;lat;lon;altitude;startDate;endDate;locationCode
's Heerenbroek;314_N;Neerslagstation (8-8);52.533333;6;9999;19510101;19530131;
'S Heerenhoek;760_N;Neerslagstation (8-8);51.471611;3.770389;1.2;19510101;99991231;
Aalsmeer;458_N;Neerslagstation (8-8);52.263944;4.769056;-4.2;19510101;99991231;
Aalten;680_N;Neerslagstation (8-8);51.912283;6.568892;23.39;19510101;99991231;
Abcoude;572_N;Neerslagstation (8-8);52.260833;4.979417;-1.7;19510101;99991231;
Aken;10501_G;Grensstation;50.783333;6.1;9999;19510101;20130501;
Akkrum;89_N;Neerslagstation (8-8);53.056083;5.819833;-.1;19951001;99991231;
Almelo;664_N;Neerslagstation (8-8);52.348722;6.669028;12.5;19510101;99991231;
Almen;678_N;Neerslagstation (8-8);52.156889;6.31425;10.1;19510101;99991231;
Almen;122_H;Termijnstation;52.158056;6.3025;90;19710101;19901231;
Amen;169_N;Neerslagstation (8-8);0;0;155;19690101;19750102;
Amerongen;560_N;Neerslagstation (8-8);51.997139;5.453583;7.88;19510101;99991231;
Ammerzoden;910_N;Neerslagstation (8-8);51.746475;5.214456;3.2;19510101;99991231;
Amsterdam;441_N;Neerslagstation (8-8);52.3725;4.916639;1;19320101;20141231;
Amsterdam ANWI (FIL);433_N;Neerslagstation (8-8);52.370833;4.919167;9999;19510101;19611231;
Amsterdam Coenhaven;616_H;hoofd station/AWS/SHIP, AMSTERDAM (COENHAVEN);52.367222;4.907222;9999;19860101;19910630;
Amsterdam Hortus Botanicus;412_Z;Zonneschijn;52.367222;4.907222;9999;19510101;19910731;
Andel;835_N;Neerslagstation (8-8);51.783006;5.055444;1.4;19510101;99991231;
Andel;125_H;Termijnstation;51.783889;5.053611;14;19710101;19901231;
Anjum;171_N;Neerslagstation (8-8);53.384333;6.131333;.6;19950501;99991231;
Anna Jacoba Polder;744_N;Neerslagstation (8-8);51.639861;4.123944;1;19510101;99991231;
Anna Paulowna;227_N;Neerslagstation (8-8);52.857694;4.839611;-1.7;19510101;99991231;
Antwerpen;6450_G;Grensstation;51.183333;4.45;9999;19510101;20130501;
Apeldoorn;543_N;Neerslagstation (8-8);52.231078;5.957217;16.4;19510101;99991231;
Appelscha;69_N;Neerslagstation (8-8);52.959417;6.347;9.24;19510101;99991231;
Arcen;391_H;AWS;51.497222;6.196111;19.5;19900618;99991231;
Arcen;923_N;Neerslagstation (8-8);51.483944;6.191722;19.01;19951101;99991231;
Arcen;391_R_a;Neerslagwaarnemingen;51.497222;6.196111;19.5;20020101;99991231;a;
Arcen;391_S_a;Straling/zonneschijn;51.497222;6.196111;19.5;20020101;99991231;a;
Arcen;391_T_a;Temperatuurwaarnemingen;51.497222;6.196111;19.5;20020101;99991231;a;
Arcen;391_W_a;Windwaarnemingen;51.497222;6.196111;19.5;20020101;99991231;a;
Arnhem;541_N;Neerslagstation (8-8);51.996083;5.926778;36.12;19060601;99991231;
Assen;140_N;Neerslagstation (8-8);53.003944;6.596722;10.7;19510101;99991231;
Assendelft;263_N;Neerslagstation (8-8);52.472278;4.725472;-1.3;20060308;99991231;
Auk-Alfa;253_D;diversen noordzee AUK-ALFA;56.4;2.066667;9999;19970818;20090407;
Auk-Alfa;551_D;diversen noordzee, AUK;56.399722;2.065556;9999;19510101;19941102;
Auk-Alfa;253_H;hoofd station/AWS/SHIP AUK-ALFA;56.4;2.066667;9999;19970818;20090407;
Auk-Alfa;551_H;hoofd station/AWS/SHIP, AUK;56.399722;2.065556;9999;19800101;19941102;
Avereest/Balkbrug;301_N;Neerslagstation (8-8);52.619444;6.368333;9999;19970110;17000101;
Axel;745_N;Neerslagstation (8-8);51.276111;3.910556;21;19050101;19960102;
Bakel (de Rips);900_N;Neerslagstation (8-8);51.5;5.783333;9999;19510101;19540131;
Bakkum;232_N;Neerslagstation (8-8);0;0;42;19510101;19571231;
Balinge;294_N;Neerslagstation (8-8);52.812222;6.630833;9999;19970110;17000101;
Balk;83_N;Neerslagstation (8-8);0;0;5;19510101;19560630;
Barendrecht;461_N;Neerslagstation (8-8);51.837611;4.535139;-.7;19510101;99991231;
Barneveld;580_N;Neerslagstation (8-8);52.14125;5.566583;9.9;19510101;99991231;
Beek;973_N;Neerslagstation (8-8);50.926139;5.808778;113.9;19510101;99991231;
Beekbergen;573_N;Neerslagstation (8-8);52.164111;5.958639;25;19510101;99991231;
Beesel;977_N;Neerslagstation (8-8);51.2675;6.038889;270;19510101;19950101;
Bemmelenhoeve van, prof.;241_N;Neerslagstation (8-8);52.783333;5.05;9999;19510101;19531231;
Bennebroek;460_N;Neerslagstation (8-8);52.316944;4.588333;9999;19510101;19581010;
Benschop;561_N;Neerslagstation (8-8);52.001528;4.935111;-1;19510101;99991231;
Bergen NH;234_N;Neerslagstation (8-8);52.680306;4.686444;9.2;19510101;99991231;
Bergen op Zoom;832_N;Neerslagstation (8-8);51.50675;4.250528;4.36;19510101;99991231;
Bergen op Zoom;441_Z;Zonneschijn;51.507778;4.2525;21;19510101;19850810;
Bergschenhoek;453_N;Neerslagstation (8-8);51.980556;4.492806;-5.9;19320101;99991231;
Bergumerdam;87_N;Neerslagstation (8-8);53.1765;6.010194;1.86;19520601;99991231;
